مرحبًا.	Hi.
أوافقك الرأي.	I agree with you.
أتفق معك.	I agree with you.
كدت اغرق	I almost drowned.
أحب الكعك أيضاً.	I also like cake.
أنا من النرويج.	I am from Norway.
أنا نرويجي.	I am from Norway.
أنا من روسيا.	I am from Russia.
لا أشعر بالعطش.	I am not thirsty.
كنت أمزح فقط.	I am only joking.
أنا أضحك فقط.	I am only joking.
أنا والدك.	I am your father.
أنا أبوك.	I am your father.
أكلت الجبن.	I ate the cheese.
أنا اؤمن بالله.	I believe in God.
أثق في قدرتك.	I believe in you.
اشتريت ساعة.	I bought a watch.
أستطيع أن أراه الآن.	I can see it now.
لم أستطع النوم.	I couldn't sleep.
لم أحبه.	I didn't like it.
لم يعجبني ذلك.	I didn't like it.
لا أعرفها.	I don't know her.
أنا لا أعرفها	I don't know her.
لا أعرفه.	I don't know him.
أنا لا أعرفه	I don't know him.
أنا لا أعرف لماذا	I don't know why.
أنا لا أعرفك	I don't know you.
لا أحبها.	I don't like her.
إنها لا تعجبني.	I don't like her.
أنا لا أحبك	I don't love you.
لا أظن ذلك.	I don't think so.
أنا ذاهب إلى الحديقة	I go to the park.
أكره مادة الكيمياء.	I hate chemistry.
لدي أخ	I have a brother.
عندي مشكلة.	I have a problem.
ليس لدي شك.	I have no doubts.
عندي أسئلة.	I have questions.
علي الذهاب الآن.	I have to go now.
يجب علي أن أذهب الآن.	I have to go now.
أحيك كل يوم.	I knit every day.
أعلم بأني مخطئ.	I know I'm wrong.
لا أعرف إلّا هذا.	I know only this.
هذا كل ما أعرفه.	I know only this.
أعرف اسمك.	I know your name.
أنا أعرف اسمك	I know your name.
أحب الشوكولاتة.	I like chocolate.
أحب الورد الأحمر.	I like red roses.
أحب الورود الحمراء.	I like red roses.
انا احب كلا منهما	I like them both.
تعجبني خطتك.	I like your plan.
أنا أُحب عملك.	I like your work.
أعيش بالقرب من هنا.	I live near here.
أنا احترمك.	I look up to you.
أحب عيد الهالوين	I love Halloween.
جَعَلْتُ توم سعيداً.	I made Tom happy.
ارتكبت خطأً.	I made a mistake.
اقترفت خطأً.	I made a mistake.
أغضبتها.	I made her angry.
صنعتها بنفسي.	I made it myself.
أشتاق إليك كثيراً.	I miss you badly.
أنا مشتاق إليك جداً.	I miss you badly.
فوّتت موقفي.	I missed my stop.
لقد فاتتني الحافلة	I missed the bus.
أحتاج إلى إسعافات أولية.	I need first aid.
أحتاج بعض الراحة.	I need some rest.
أحتاج مساعدتك.	I need your help.
أحتاج إلى مساعدتك.	I need your help.
أنا لا آكل اللحم أبدا.	I never eat meat.
أشرت إليه.	I pointed at him.
ركضت لمسافة ميل.	I ran for a mile.
قرأت كتابك.	I read your book.
لقد قلت أنا آسف	I said I'm sorry.
رأيت كل شئ.	I saw everything.
لقد رأيت كل شئ.	I saw everything.
مازلت أكرهك.	I still hate you.
ما زلت أحبها	I still love her.
ما أزال أفتقد توم.	I still miss Tom.
أوافق وبشدة.	I strongly agree.
أنا أدرس الطّب.	I study medicine.
إنتظرتك.	I waited for you.
أتمشّى كل يوم.	I walk every day.
أمشي إلى المدرسة.	I walk to school.
أُريد الإنتقام.	I want vengeance.
كنت سعيداً يومها.	I was happy then.
كنت سعيداً عند ذلك.	I was happy then.
سأشتري سيارة.	I will buy a car.
سأطلق عليه الرصاص.	I will shoot him.
لن أؤذيك.	I won't harm you.
لن افتقد توم.	I won't miss Tom.
سأتصل بك.	I'll contact you.
سآكل هنا.	I'll eat it here.
سآكل هاهنا.	I'll eat it here.
أنا جائع قليلا.	I'm a bit hungry.
أنا مترجم	I'm a translator.
أنا من أمريكا.	I'm from America.
أنا ذاهب للجري	I'm going to run.
أنا هنا من أجلك.	I'm here for you.
إنني هنا لأجلك.	I'm here for you.
أشعر بالفضول فحسب.	I'm just curious.
إني أنظر فحسب.	I'm just looking.
انا لست محامي	I'm not a lawyer.
أنا سعيد جداً.	I'm really happy.
أنا متعب جداً.	I'm really tired.
أنا شعبي جداً.	I'm very popular.
أنا عطشانٌ جداً.	I'm very thirsty.
أنا شريكك.	I'm your partner.
فقدت حقيبتي.	I've lost my bag.
هل هذا أمر؟	Is that an order?
هل تلك سيارتك؟	Is that your car?
هل تلك أمك؟	Is that your mom?
هل اللحم جيد؟	Is the meat good?
أهذه سيارتك؟	Is this your car?
هل هذه سيارتك؟	Is this your car?
أهذا قلمك؟	Is this your pen?
لا يمكن أن يكون ذلك صحيحاً.	It can't be true.
ستمطر قريباً.	It may rain soon.
ربما ستمطرُ بعدَ قليل.	It may rain soon.
لقد كان خطأ.	It was a mistake.
كان في المدرسة.	It was at school.
إنه كتاب جيد	It's a good book.
إنها صفقة جيدة.	It's a good deal.
اليوم ممطر.	It's a rainy day.
لقد تم سرقتها.	It's been stolen.
إنه دوري الآن.	It's now my turn.
إنها على الأريكة.	It's on the sofa.
الجو مشمس اليوم.	It's sunny today.
لونه أحمر.	Its color is red.
لونها أحمر.	Its color is red.
دعني أضيف الماء.	Let me add water.
فلنحاول!	Let's have a try.
لنلعب الورق.	Let's play cards.
إسمع جيداً.	Listen carefully.
استمع إلي, حسناً؟	Listen to me, OK?
الحب خالد	Love is immortal.
أفسح الطريق من فضلك.	Make way, please.
اتخذ خياراً.	Make your choice.
ميري صفعت توم.	Mary slapped Tom.
هل أستطيع أن آتي مرة أخرى؟	May I come again?
أيمكنني أن أدخّن هنا؟	May I smoke here?
سيارتي ألمانية الصنع.	My car is German.
وشاحي أزرق.	My scarf is blue.
معدتي تؤلمني.	My stomach hurts.
ربطة عنقي برتقالية.	My tie is orange.
لم يساعدني أحد.	No one helped me.
لن يأتي أحد.	No one is coming.
لا أحد يحب الحرب.	No one loves war.
لن يعرف أحد.	No one will know.
كل شيء وله ثمن	No pain, no gain.
لا أحد جائع.	Nobody is hungry.
لا يوجد شخص معصوم.	Nobody's perfect.
لا يوجد شخص معصوم من الخطأ.	Nobody's perfect.
لم يحدث شيء.	Nothing happened.
تعال الى هنا من فضلك.	Please come here.
لا تسأل إذا سمحت.	Please don't ask.
من فضلك لا تبكِ.	Please don't cry.
لا تبكِ من فضلك.	Please don't cry.
من فضلك دعني أذهب.	Please let me go.
تأكّد لو سمحت.	Please make sure.
من فضلك تنحّى جانباً.	Please step back.
استدر من فضلك.	Please turn over.
إستعد	Prepare yourself.
أراك غداً.	See you tomorrow.
أصبحت سعيدة.	She became happy.
اِنهالت بالبكاء.	She began crying.
أجهشت بالبكاء.	She began crying.
أخذت تبكي.	She began crying.
كرهته.	She despised him.
احتقرته.	She despised him.
شعرها جاف.	She has dry hair.
شعرها مبلول.	She has wet hair.
هي طالبة	She is a student.
إنها غاضبة عليّ.	She is mad at me.
ظلت تعمل.	She kept working.
تابعت عملها.	She kept working.
إنها تحب الركض.	She likes to run.
ضلّت طريقها.	She lost her way.
من الممكن أن لا تأتي.	She may not come.
قالت وداعا.	She said goodbye.
لقد خدعتهُ.	She swindled him.
لقد إحتالت عليه.	She swindled him.
تم ترقيتها.	She was promoted.
اجلس على الطاولة.	Sit at the table.
اجلس معي.	Sit down with me.
اِجلس من فضلك.	Sit down, please.
تفضل بالجلوس.	Sit down, please.
انتهى الصيف.	Summer has ended.
ولى فصل الصيف.	Summer has ended.
السباحة أمر سهل.	Swimming is easy.
خذني معك.	Take me with you.
تناول هذه الأقراص.	Take these pills.
خذ هذه الأقراص.	Take these pills.
أخبره بأن ينتظر	Tell him to wait.
أخبرني عنها.	Tell me about it.
لم يكن هذا مهذبا.	That wasn't nice.
هذه أخبار طيبة.	That's good news.
إنّ الكتابَ سهلٌ.	The book is easy.
الكتابُ سهلٌ.	The book is easy.
الكتاب هُنَا	The book is here.
هرب الولد.	The boy ran away.
السيارة جاهزة.	The car is ready.
تكت الساعة .	The clock ticked.
تحرك عقرب الثواني الخاص بالساعة .	The clock ticked.
الكلب يحتضر.	The dog is dying.
كان الكلب ميتاً.	The dog was dead.
الباب مفتوح.	The door is open.
البحر هائج.	The sea is rough.
السماء صافية.	The sky is clear.
الماء بارد	The water's cold.
الماء دافئ	The water's warm.
جف البئر.	The well ran dry.
لا يوجد شك.	There's no doubt.
هذا الكتاب جديد	This book is new.
هذا الكتاب قديم.	This book is old.
هذا بيتي.	This is my house.
هذا غير صحيح.	This is not true.
هذا مخجل.	This is shameful.
هذا هو الحال.	This is the case.
هذا كبير جدا	This is very big.
ها هو مفتاحك.	This is your key.
هذا مفتاحك.	This is your key.
يستطيع توم الركض بسرعة.	Tom can run fast.
لم يعترض سامي.	Tom didn't argue.
توم لا يعلم.	Tom doesn't know.
توم يشرب كثيرا.	Tom drinks a lot.
توم يشرب الماء	Tom drinks water.
غضب توم جدا.	Tom got very mad.
توم لديه مناعة.	Tom has immunity.
توم مصاب بالجدري.	Tom has smallpox.
آذى توم نفسه.	Tom hurt himself.
توم اذي نفسه.	Tom hurt himself.
توم طالب.	Tom is a student.
توم غاضب الآن.	Tom is angry now.
توم خلفي.	Tom is behind me.
توم مشغول أيضا.	Tom is busy, too.
توم صديقي.	Tom is my friend.
توم هناك.	Tom is out there.
توم متديّن.	Tom is religious.
توم نحيف جدا.	Tom is very slim.
توم زير نساء.	Tom is womanizer.
يحب توم الجبنة.	Tom likes cheese.
يبدو توم قويّا.	Tom looks strong.
خسر توم وظيفته.	Tom lost his job.
أحب توم التزحلق	Tom loved skiing.
يحب توم القطارات	Tom loves trains.
توم احتاج ماء	Tom needed water.
بدى توم ضجرا.	Tom seemed bored.
يبدو توم بحال جيدة.	Tom seems OK now.
توم يسرق الاشياء.	Tom steals stuff.
توم أقترحَ هذا.	Tom suggested it.
توم أقترحَ ذَلك.	Tom suggested it.
توم يمشي ببطئ.	Tom walks slowly.
كان توم غاضبا كثيرا.	Tom was so angry.
جرب مرة أخرى.	Try it once more.
أخفض صوت التلفاز.	Turn down the TV.
امشِ أمامي.	Walk ahead of me.
هل كان توم بحاراً؟	Was Tom a sailor?
اسق البستان	Water the garden.
وصلنا أولاً	We arrived first.
لدينا فرصة.	We have a chance.
ليس لدينا ماء.	We have no water.
لدينا أذنان.	We have two ears.
غادرنا بالقطار.	We left by train.
خسرنا تلك المباراة.	We lost the game.
ارتكبنا أخطاءً.	We made mistakes.
نحن نرتكب اخطاء.	We make mistakes.
قد نحتاج لبعضه.	We may need some.
نحن نحتاج إلي المطر.	We need the rain.
ليس عندنا إلا الشاي.	We only have tea.
نمنا طوال اليوم.	We slept all day.
لم نكن سعداء	We weren't happy.
لم نكن محظوظين	We weren't lucky.
الأفضل أن ننتظر.	We'd better wait.
إننا في عجلة من أمرنا.	We're in a hurry.
لسنا خائفين	We're not afraid.
نحن لا نتواعد.	We're not dating.
نحن آسفون جداً	We're very sorry.
جميعنا اتفق.	We've all agreed.
ياله من طفل لطيف!	What a cute baby!
ما لونه؟	What color is it?
ماذا قلت؟	What did you say?
ماذا تحب؟	What do you like?
ماذا تُفضّل؟	What do you like?
ماذا تعني؟	What do you mean?
ماذا تقصد؟	What do you mean?
ما الذي تريده؟	What do you want?
ماذا تريد؟	What do you want?
ماذا لو رفضت؟	What if I refuse?
ماذا لو فشِل؟	What if he fails?
ما الذي يحدث؟	What is going on?
ماذا عليّ أن أفعل؟	What should I do?
ما الذي عليّ فعله؟	What should I do?
ماذا أفعل الآن؟	What should I do?
ما الذي أيقظك؟	What woke you up?
ماذا للغداء؟	What's for lunch?
ما الذي يحدث؟	What's happening?
ماذا حصل؟	What's happening?
ماذا تفعل؟	What's she doing?
ما الذي تفعله؟	What's she doing?
ما اسمُك؟	What's your name?
ما هو قياسك؟	What's your size?
الرأي رأيك.	Whatever you say.
متى تنتهي؟	When does it end?
متى ينتهي ذلك؟	When does it end?
متى علينا الذهاب؟	When shall we go?
متى علينا أن نذهب؟	When shall we go?
إلى أين ذهبت؟	Where did you go?
أين ذهبت؟	Where did you go?
أين كتابي؟	Where is my book?
أين سنذهب؟	Where will we go?
أين ساعتي؟	Where's my watch?
أين الزعيم؟	Where's the boss?
أين الرئيس؟	Where's the boss?
أين المخرج؟	Where's the exit?
من هذه الفتاة؟	Who is this girl?
من أخذ مفاتيحي؟	Who took my keys?
من سيساعدني؟	Who will help me?
من كتب هاملت؟	Who wrote Hamlet?
لماذا أنت هنا؟	Why are you here?
لماذا استقلت؟	Why did you quit?
لم بقيت؟	Why did you stay?
لماذا تدرس؟	Why do you study?
لم الجو حار هكذا؟	Why is it so hot?
هل ستساعدني؟	Will you help me?
كان لديك خيار.	You had a choice.
يجب أن تتوقف	You have to stop.
من الممكن أن يكون ما تقوله صحيح.	You may be right.
يمكنك الذهاب إلى هناك.	You may go there.
أسمح لك بالذهاب إلى هناك إذا أردت.	You may go there.
يجب عليك الانضمام لي.	You must join me.
يجب ان تنتظر.	You need to wait.
انت بحاجة للانتظار.	You need to wait.
عليك النوم.	You should sleep.
من الأفضل لك أن تنام.	You should sleep.
يَنْبَغِيْ أَنْ تَنَام.	You should sleep.
عليك ألا تذهب.	You shouldn't go.
يُفضّل ألا تذهب.	You shouldn't go.
سيروق لك ذلك.	You'll love this.
أنتِ منفعلة.	You're emotional.
أنت أبي.	You're my father.
أنت والدي.	You're my father.
أنتَ ربحتها.	You've earned it.
يجب أن تذهب	You've got to go.
هنا كلبك.	Your dog is here.
ها هو كلبك.	Your dog is here.
إحمرّ وجهك.	Your face is red.
أضف القليل من الحليب.	Add a little milk.
هل نحن مستعدون للذهاب	Are we good to go?
هل الجميع جاهز؟	Are you all ready?
هل كلكم جاهزون؟	Are you all ready?
هل أنتَ بخير؟	Are you all right?
سيبقى الأولاد أولاداً.	Boys will be boys.
أحضر والدك	Bring your father.
أيمكنني الذهاب إلى البيت الآن؟	Can I go home now?
هل يستطيع الطفل أن يمشي؟	Can the baby walk?
ألا تستطيع الشعور به ؟	Can't you feel it?
اختر شخصاً واحداً.	Choose one person.
نظف الغرفة.	Clean up the room.
تعال إلى هنا حالاً.	Come here at once.
تعال و اسبح معي.	Come swim with me.
أيمكنك مساعدتي؟	Could you help me?
من فضلك ساعدني.	Could you help me?
البقر يعطينا الحليب.	Cows give us milk.
وزع علينا الورق.	Deal us the cards.
وزّع علينا ورق اللعب.	Deal us the cards.
دافِعوا عن انفُسَكُم.	Defend yourselves.
ألم أقل ذلك؟	Didn't I say that?
هل تخبز خبز؟	Do you bake bread?
هل تخبزي خبز؟	Do you bake bread?
هل عندك سيارة؟	Do you have a car?
أتمتلك سيارة؟	Do you have a car?
ألديك قلم؟	Do you have a pen?
هل لديك نقود؟	Do you have money?
هل لديك مال ؟	Do you have money?
أتحب الموسيقى؟	Do you like music?
هل أنت بحاجة إلى المال؟	Do you need money?
هل تفهم؟	Do you understand?
هل تعمل لوحدك؟	Do you work alone?
هل يأكل توم اللحم؟	Does Tom eat meat?
هل تعرفك؟	Does she know you?
لا تنس ذلك.	Don't forget that.
لا تبحث عني	Don't look for me.
لا تُخبِر أحداً.	Don't tell anyone.
لا تلمس هذه الأشياء.	Don't touch these.
ألقوا أسلحتكم!	Drop your weapons!
ضحك الجميع.	Everybody laughed.
جلس الجميع.	Everyone sat down.
أعطني ذلك الكتاب	Give me that book.
أعطني الملعقة.	Give me the spoon.
اذهب و اجلس في السّيّارة.	Go sit in the car.
تصبحين على خير يا والدتي	Goodnight, Mother.
هل إنتهيت؟	Have you finished?
لقد وافقني.	He agreed with me.
سدّ عليّ الطريق.	He blocked my way.
لقد أخلف وعده.	He broke his word.
لقد أتى بنفسه	He came in person.
مات البارحة.	He died yesterday.
إنه ليس مدخنا.	He does not smoke.
هو لا يدخن.	He does not smoke.
شرب القليل.	He drank a little.
غمز لي.	He gave me a wink.
لديه ثلاثة أبناء.	He has three sons.
عنده ثلاثة أولاد.	He has three sons.
هو متهور.	He is a daredevil.
إنه ليس مدخنا.	He isn't a smoker.
استلقى على السرير.	He lay on the bed.
إنه يسكن في طوكيو.	He lives in Tokyo.
إنه يعيش في طوكيو.	He lives in Tokyo.
هوَ لابد أن يجد عملاً.	He must find work.
لقد رَفَضَ أن يدفع؟	He refused to pay.
يتكلم بسرعة.	He speaks quickly.
يتحدث بسرعة.	He speaks quickly.
أشعل عود ثقاب.	He struck a match.
يتحدث بسرعة كبيرة.	He talks too fast.
إنه يتكلم أكثر مما يجب.	He talks too much.
هو يدرس العربيه.	He teaches Arabic.
رمى الكرة.	He threw the ball.
لوى ذراعي.	He twisted my arm.
سيأتي قريباً.	He will come soon.
يبدو جيدا	He's looking good.
ها هو كتابك.	Here is your book.
تفضّل طلبك.	Here's your order.
استمع إلي	Hey, listen to me.
عيناه زرقاوتان.	His eyes are blue.
هلا أمسكت بهذا من فضلك؟	Hold this, please.
كيف حالك؟	How are you doing?
و كيف أجبت؟	How did you reply?
يا لك من محظوظ!	How lucky you are!
كم أنتَ محظوظ!	How lucky you are!
كم أنتِ محظوظة!	How lucky you are!
كيف لي أن أعرف؟	How should I know?
و كيف لي أن أعرف؟	How should I know?
و كيف لي أن أعلم؟	How should I know?
كيف حال الطقس؟	How's the weather?
وافقتها الرأي.	I agreed with her.
أنا وجدت ذلك أيضا.	I also found this.
ذهبت إلى هناك أيضاً.	I also went there.
عمري تسعة عشر عاماً.	I am 19 years old.
أنا بالفعل متأخر.	I am already late.
أنا تأخرت.	I am already late.
أنا قادمٌ اليوم	I am coming today.
أنا في المنزل.	I am in the house.
أنا أقدر ذلك.	I appreciate this.
طلبت النجدة.	I called for help.
بالكاد يمكنني المشي.	I can hardly walk.
أعرف كيف ألعب كرة المضرب.	I can play tennis.
بإمكاني أن ألعب التنس.	I can play tennis.
لا أستطيع أن أتركك.	I can't leave you.
لا أطيقه.	I can't stand him.
لم أهرب.	I didn't run away.
أنا لا ألومهُ.	I don't blame him.
أنا لا ألومك.	I don't blame you.
أنا لا أضع اللوم عليك.	I don't blame you.
لا آكل الفواكه.	I don't eat fruit.
ليس لدي وقت.	I don't have time.
ليس عندي وقت.	I don't have time.
أنا لا أسكن هنا	I don't live here.
لا أحتاج لهذا.	I don't need that.
لا أريد لحما.	I don't want meat.
لا أريدهم.	I don't want them.
لا أريدهنّ.	I don't want them.
أنا أشكّ بروايته .	I doubt his story.
شككت في عيناي.	I doubted my eyes.
سقطت منّي مفاتيحي.	I dropped my keys.
أوقعت مفاتيحي.	I dropped my keys.
أنا أنسى إسمه.	I forget his name.
وجدت له عملا.	I found him a job.
ركبتُ سيارة أجرة.	I got into a taxi.
كم أكره المقابلات.	I hate interviews.
لدي صداع في رأسي.	I have a headache.
لدي سؤال.	I have a question.
ليس لدي أخوات.	I have no sisters.
لي أخت واحدة.	I have one sister.
عليّ أن أجدها.	I have to find it.
عليّ العثور عليها.	I have to find it.
يجب أن أذهب إلى البيت	I have to go home.
دفتر يومياتك عندي.	I have your diary.
كنت أعلم أنه أنت.	I knew it was you.
عرفت أنك ستأتي.	I knew you'd come.
لقد علمت أنك قد تأتي	I knew you'd come.
أنا أعلم أنه مشغول.	I know he is busy.
أعرف هذه المرأة.	I know this woman.
تركت لك ملاحظة.	I left you a note.
أحب القهوة ساخنة.	I like coffee hot.
أحب شرب القهوة ساخنة.	I like coffee hot.
أحب أن أشرب القهوة ساخنة	I like hot coffee.
أحب الشعر القصير.	I like short hair.
يعجبني عرضك.	I like your offer.
أحببت هذا الفيلم.	I liked this film.
لقد فقدتُ نظّاراتي.	I lost my glasses.
أحب التحديات	I love challenges.
أنا أيضاً أحب الموسيقى.	I love music, too.
أحب ذاك الكرسي.	I love that chair.
أحِبُّ هذا المتجر.	I love this store.
نادرا ما آكل اللحم.	I rarely eat meat.
اشتقت إليك حقا	I really miss you.
رأيته يركض.	I saw him running.
رأيته يجري	I saw him running.
رأيتك تطبخ.	I saw you cooking.
رأيتك في الخارج.	I saw you outside.
رأيت أباك	I saw your father.
نادرا ما آكل اللحم.	I seldom eat meat.
أعتقد بأني محق.	I think I'm right.
اعتقد خلاف ذلك.	I think otherwise.
اعتقد غير ذلك.	I think otherwise.
أريد بعض المال.	I want some money.
أريد أن أكون هنا	I want to be here.
أريد أن أذهب إلى البيت	I want to go home.
كنت لا أزال صبيّا آنذاك.	I was a baby then.
كُنتُ نِصفَ نائم	I was half asleep.
سُرقت للتو.	I was just mugged.
إنني قلق عليه.	I worry about him.
أريد رغيف لحم.	I'd like meatloaf.
سأفعلها بنفسي.	I'll do it myself.
سوف أُحضرُ الطعام.	I'll get the food.
سأذهبُ منفردًا	I'll go on my own.
سأعلّمك.	I'll let you know.
سأدفع الفاتورة.	I'll pay the bill.
الحساب عليّ.	I'll pay the bill.
أنا سأدفع الحساب.	I'll pay the bill.
سانتظرك.	I'll wait for you.
سأنتظر في الخارج.	I'll wait outside.
أنا طالب جديد	I'm a new student.
لا أجيد ممارسة الرياضة .	I'm bad at sports.
أنا مثلك تماما.	I'm just like you.
أنا لست طالباً.	I'm not a student.
انا لست سائحاً.	I'm not a tourist.
لستُ عاجزا.	I'm not powerless.
لست جاهزاً بعد.	I'm not ready yet.
أنا غير متفاجئ.	I'm not surprised.
أنا غير متفاجئة.	I'm not surprised.
أنا فوق ثمانية عشر عاماً.	I'm over eighteen.
أنا جائع جداً.	I'm really hungry.
أنا في غاية الجوع.	I'm really hungry.
أنا جائعٌ للغاية.	I'm really hungry.
بذلت قصارى جهدي.	I've done my best.
قمت بواجبي.	I've done my duty.
قمت بما عليّ.	I've done my duty.
هل توم هناك أيضاً؟	Is Tom there, too?
هل أى ينظر أحد؟	Is anyone looking?
أهذا كلب توم ؟	Is that Tom's dog?
هل تلك السيارة لك؟	Is that car yours?
هل هذا ذهب خالص؟	Is that pure gold?
أهذه غرفتك؟	Is that your room?
هل الحمّام جاهز؟	Is the bath ready?
هل الماء بارد؟	Is the water cold?
أتلك درّاجتك؟	Is this your bike?
هل هذا كتابك؟	Is this your book?
لا يمكن أن يكون ذلك صحيحاً.	It cannot be true.
هذا لا يهم.	It doesn't matter.
إنّه قدرنا.	It is our destiny.
كان غريبا بحق.	It was very weird.
إنه بيانو قديم.	It's an old piano.
انها للسياح.	It's for tourists.
إنها لأخي.	It's my brother's.
إنه أخي.	It's my brother's.
ليس ذنبي.	It's not my fault.
الفرصة الأخيرة	It's now or never.
إنها علي الطاولة.	It's on the table.
الأمر غريب.	It's pretty weird.
إنها بعيدة جداً.	It's too far away.
اِبقَ بعيداً عني.	Keep away from me.
ابقي ذقنك مرفوعاً	Keep your chin up.
ارفع رأسك.	Keep your chin up.
اتركني أدخل لو سمحت.	Let me in, please.
دعونا نقلب العملة.	Let's flip a coin.
دعونا نعكس العملة.	Let's flip a coin.
لننسى الأمر.	Let's forget that.
هيا لنبدأ.	Let's get started.
دعنا لا نعود للمنزل.	Let's not go home.
لنلعب كرة القدم.	Let's play soccer.
لنلعب الكرة.	Let's play soccer.
لنتصافح.	Let's shake hands.
لنلقِ نظرة.	Let's take a look.
دعونا نأخذ تصويت.	Let's take a vote.
الحياة جميلة.	Life is beautiful.
استمع إلي	Listen to me, Tom.
لم أرك منذ زمن.	Long time, no see.
انظر إلى السعر	Look at the price.
شاهد ما وجدت.	Look what I found.
اللحم غالي الثمن.	Meat is expensive.
سُرقت حقيبتي.	My bag was stolen.
كلبي ينبح.	My dog is barking.
أبي غني	My father is rich.
عمىِ غاضب.	My uncle is angry.
لا تنس ذلك أبدا.	Never forget that.
لم يرسب أحد.	No one has failed.
لا مشكلة مطلقا!	No problem at all!
لا مشكلة على الإطلاق!	No problem at all!
كُن جادًّا أرجوك.	Please be serious.
كوني جادًّة أرجوكِ.	Please be serious.
سامحني من فضلك.	Please forgive me.
سامحني أرجوك.	Please forgive me.
انظر إليّ من فضلك.	Please look at me.
أرجوك، كفى كذبًا.	Please stop lying.
قُلها فى الإنجليزية.	Say it in English.
قُل ذلك فى الإنجليزية؟	Say it in English.
أراك الأسبوع القادم!	See you next week!
أصبحت مشهورة.	She became famous.
يمكنها القفز عالياً.	She can jump high.
لقد لفتت انتباهي.	She caught my eye.
أتَتْ إلى هنا حقا.	She did come here.
عيناها زرقاوتان.	She has blue eyes.
تحب البرتقال.	She likes oranges.
إنها تحب الركض.	She likes running.
إنها تحب القراءة.	She likes to read.
بدت وحيدة.	She looked lonely.
إنها تتحدث الألمانية.	She speaks German.
تحدثت بسرعة.	She spoke rapidly.
بكت بحرارة.	She wept bitterly.
بكت بمرارة.	She wept bitterly.
ليست طفلة.	She's not a child.
متأسف، إنه خطأي.	Sorry, my mistake.
اِبقَ بعيداً عني.	Stay away from me.
ابق هنا معنا.	Stay here with us.
ابق معنا.	Stay here with us.
السرقة خطأ.	Stealing is wrong.
كُفّ عن إزعاجي!	Stop bothering me!
كفاكَ مبالغة.	Stop exaggerating.
أوقف هذا حالاً!	Stop it right now!
أحضر توم للطابق العلوي.	Take Tom upstairs.
خذ مفاتيح سيّارته.	Take his car keys.
خذ هذا أو ذاك.	Take this or that.
أخبرني بالحقيقة.	Tell me the truth.
شكرًا مقدمًا.	Thanks in advance.
ذاك البيت كبير.	That house is big.
هذا هو منزله.	That is his house.
ذاك كتابك.	That is your book.
لن يحصُلَ ذلِك.	That won't happen.
تلك السيارة ليست ملكي	That's not my car.
تلك ليست سيارتي	That's not my car.
لذلك أنا خرجت	That's why I quit.
من أجل ذلك أنا خرجت	That's why I quit.
لهذا أنا خرجت	That's why I quit.
الحمّام جاهز.	The bath is ready.
الفاتورة من فضلك.	The check, please.
توقفت الساعة عن العمل.	The clock stopped.
إنّ الشّرطة هنا.	The cops are here.
الباب مقفل.	The door's locked.
تدور الأرض.	The earth rotates.
الفتيات خجولات.	The girls are shy.
كان الرجل يحتضر.	The man was dying.
القلم مكسور.	The pen is broken.
البيتزا باردة.	The pizza is cold.
الثمن مرتفع.	The price is high.
كان المتجر مكتظا.	The shop was busy.
الماء بارد	The water is cold.
الماء دافئ	The water is warm.
إنهم كبار جداً	They are very big.
لقد اتبعوك.	They followed you.
هذا الكتاب سيفي بالغرض.	This book will do.
هذا مكتبي.	This desk is mine.
هذا المكتب لي.	This desk is mine.
هذا الكلب أبيض.	This dog is white.
هذا بيتها.	This is her house.
هذا بيته.	This is his house.
هذا منزله.	This is his house.
هذا مكتبي.	This is my office.
هذا جيد جدا	This is very good.
ذاك كتابك.	This is your book.
هذه ليست فرنسية	This isn't French.
هذا اللحم جيد.	This meat is good.
اليوم هو السبت	Today is Saturday.
توم أيضا كان هنا.	Tom also was here.
توم يحبك	Tom does love you.
قاد توم السيارة.	Tom drove the car.
ركب توم السيارة.	Tom drove the car.
شعر توم بالحيره.	Tom felt confused.
أعطاني توم قلماً.	Tom gave me a pen.
توم لديه شعر رمادي.	Tom has gray hair.
توم رجل لطيف .	Tom is a kind man.
توم رجل لطيف .	Tom is a nice man.
توم ملحد.	Tom is an atheist.
توم رهينتي.	Tom is my hostage.
توم ليس متزوجاً.	Tom isn't married.
توم ليس طويلاً جداً.	Tom isn't so tall.
يعرفنا توم جيدا	Tom knows us well.
يحب توم الحياكة.	Tom likes to knit.
توم يحب أن يقرأ	Tom likes to read.
يبدو "توم" مذهلا	Tom looks amazing.
يبدو توم في حيرة.	Tom looks baffled.
يحب توم الحيوانات	Tom loves animals.
آمل أن يسير كل شيء على ما يرام	Tom loves cooking.
توم يحب القراءة	Tom loves reading.
أغضبني توم.	Tom made me angry.
ارتكب توم أخطاء.	Tom made mistakes.
أحرز توم هدفًا.	Tom scored a goal.
توم تنهد بعمق	Tom sighed deeply.
توم يريد ان يأتي.	Tom wants to come.
كان توم خجِلا بعض الشيئ.	Tom was a bit shy.
لن يدفع لك توم.	Tom won't pay you.
لن يدفع توم لك.	Tom won't pay you.
توم سيرغب بها.	Tom would like it.
حاول أن تهدأ.	Try and calm down.
افتح الراديو.	Turn on the radio.
قوموا بزيارتنا غداً.	Visit us tomorrow.
قُم بزيارتنا غداً.	Visit us tomorrow.
